wl,n,wl,k
0.3,2.5,0.3,0.25
0.325,2.38,0.325,0.11
0.35,2.27,0.35,0.04
0.375,2.17,0.375,0.02
0.4,2.1,0.4,0.01
0.425,2.05,0.425,0.01
0.45,2.01,0.45,0.01
0.475,1.98,0.475,0.02
0.5,1.96,0.5,0.02
0.55,1.93,0.55,0.03
0.6,1.9,0.6,0.05
0.65,1.88,0.65,0.06
0.7,1.87,0.7,0.08
0.75,1.86,0.75,0.1
0.8,1.86,0.8,0.12
0.85,1.88,0.85,0.14
0.9,1.89,0.9,0.15
0.95,1.91,0.95,0.16
1,1.92,1,0.16
1.05,1.93,1.05,0.16
1.1,1.94,1.1,0.15
1.15,1.95,1.15,0.15
1.2,1.96,1.2,0.14
1.25,1.97,1.25,0.14
1.3,1.97,1.3,0.14
1.35,1.98,1.35,0.13
1.4,1.98,1.4,0.13
1.45,1.98,1.45,0.12
1.5,1.99,1.5,0.12
1.55,1.99,1.55,0.11
1.6,1.99,1.6,0.11
1.65,1.99,1.65,0.11
1.7,1.99,1.7,0.1
1.75,2,1.75,0.1
1.8,2,1.8,0.1
1.85,2,1.85,0.1
1.9,2,1.9,0.09
1.95,2,1.95,0.09
2,2,2,0.09
2.1,2,2.1,0.08
2.2,2,2.2,0.08
2.3,2.01,2.3,0.08
2.4,2.01,2.4,0.07
2.5,2.01,2.5,0.07
