wl,n,wl,k,,,
2.841,1.471843527,,,,,
2.884,1.471057452,,,,,
2.927,1.470260413,,,,,
2.97,1.469452374,,,,,
3.013,1.468633303,,,,,
3.056,1.467803166,,,,,
3.099,1.466961937,,,,,
3.141,1.466129534,,,,,
3.184,1.465266296,,,,,
3.227,1.464391889,,,,,
3.27,1.463506291,,,,,
3.313,1.462609481,,,,,
3.356,1.461701439,,,,,
3.399,1.460782148,,,,,
3.442,1.459851591,,,,,
3.485,1.458909751,,,,,
3.528,1.457956613,,,,,
3.57,1.45701472,,,,,
3.613,1.45603921,,,,,
3.656,1.455052362,,,,,
3.699,1.454054164,,,,,
3.742,1.453044608,,,,,
3.785,1.45202368,,,,,
3.828,1.450991372,,,,,
3.871,1.449947674,,,,,
3.914,1.448892576,,,,,
3.957,1.447826073,,,,,
3.999,1.446773352,,,,,
4.042,1.445684276,,,,,
4.085,1.44458377,,,,,
4.128,1.443471829,,,,,
4.171,1.442348445,,,,,
4.214,1.441213612,,,,,
4.257,1.440067325,,,,,
4.3,1.438909578,,,,,
4.343,1.437740365,,,,,
4.386,1.436559683,,,,,
4.428,1.43539538,,,,,
4.471,1.434192011,,,,,
4.514,1.432977156,,,,,
4.557,1.431750815,,,,,
4.6,1.430512983,,,,,
5,1.3819124,,,,,
6,1.3087116,,,,,
7,1.1395584,,,,,
8,0.9288588,,,,,
8.2,0.8131224,,,,,
8.4,0.6172608,,,,,
8.5,0.6063796,,,,,
8.7,0.6766128,,,,,
9,0.7280512,,,,,
9.2,0.8032304,,,,,
9.4,0.9605132,,,,,
9.5,1.073282,,,,,
9.6,1.1959428,,,,,
9.8,1.4630268,,,,,
10,1.6885644,,,,,
10.5,1.9348752,,,,,
11,1.9724648,,,,,
11.5,1.8438688,,,,,
12,1.7142836,,,,,
12.5,1.5945904,,,,,
13,1.5886552,,,,,
13.5,1.597558,,,,,
14,1.597558,,,,,
14.5,1.5411736,,,,,
15,1.5372168,,,,,
