wl,n,wl,k,,,
0.3867999,1.52357,0.42,2.28E-07,,,
0.38839078,1.52334,0.43,2.40E-07,,,
0.38998166,1.52311,0.44,2.34E-07,,,
0.39157254,1.52288,0.45,1.93E-07,,,
0.39316339,1.52265,0.46,1.67E-07,,,
0.39475427,1.52243,0.47,1.70E-07,,,
0.39634515,1.52221,0.48,1.68E-07,,,
0.39793601,1.52199,0.49,1.55E-07,,,
0.39952689,1.52178,0.5,1.49E-07,,,
0.40111774,1.52156,0.51,1.50E-07,,,
0.40270856,1.52136,0.52,1.58E-07,,,
0.40429944,1.52115,0.53,1.77E-07,,,
0.40589029,1.52095,0.54,1.99E-07,,,
0.40748111,1.52074,0.55,2.20E-07,,,
0.40907196,1.52055,0.56,2.53E-07,,,
0.41066275,1.52035,0.57,3.05E-07,,,
0.41225357,1.52015,0.58,3.56E-07,,,
0.41384439,1.51996,0.59,4.00E-07,,,
0.41543521,1.51977,0.6,4.55E-07,,,
0.41702597,1.51959,0.61,5.22E-07,,,
0.41861679,1.5194,0.62,5.97E-07,,,
0.42020758,1.51922,0.63,6.91E-07,,,
0.42179834,1.51904,0.64,7.75E-07,,,
0.42338907,1.51886,0.65,8.37E-07,,,
0.42497983,1.51869,0.66,9.11E-07,,,
0.42657056,1.51851,0.67,1.01E-06,,,
0.42816129,1.51834,0.68,1.10E-06,,,
0.42975201,1.51817,0.69,1.16E-06,,,
0.43134271,1.518,0.7,1.23E-06,,,
0.43293341,1.51784,0.71,1.35E-06,,,
0.43452408,1.51767,0.72,1.47E-06,,,
0.43611475,1.51751,0.73,1.59E-06,,,
0.43770538,1.51735,0.74,1.71E-06,,,
0.43929599,1.51719,0.75,1.83E-06,,,
0.44088663,1.51703,0.76,1.96E-06,,,
0.44247723,1.51688,0.77,2.09E-06,,,
0.44406781,1.51673,0.78,2.21E-06,,,
0.44565839,1.51658,0.79,2.35E-06,,,
0.44724896,1.51643,0.8,2.48E-06,,,
0.44883951,1.51628,0.81,2.62E-06,,,
0.45043002,1.51613,0.82,2.76E-06,,,
0.45202051,1.51599,0.83,2.89E-06,,,
0.45361102,1.51584,0.84,3.02E-06,,,
0.45520148,1.5157,0.85,3.15E-06,,,
0.45679193,1.51556,0.86,3.27E-06,,,
0.45838239,1.51542,0.87,3.39E-06,,,
0.45997281,1.51529,0.88,3.51E-06,,,
0.46156317,1.51515,0.89,3.62E-06,,,
0.46315356,1.51502,0.9,3.73E-06,,,
0.4647439,1.51488,0.91,3.82E-06,,,
0.46633423,1.51475,0.92,3.91E-06,,,
0.4679245,1.51462,0.93,4.00E-06,,,
0.4695148,1.51449,0.94,4.08E-06,,,
0.47110507,1.51436,0.95,4.17E-06,,,
0.47269531,1.51424,0.96,4.26E-06,,,
0.47428555,1.51411,0.97,4.35E-06,,,
0.47587573,1.51399,0.98,4.43E-06,,,
0.47746588,1.51387,0.99,4.51E-06,,,
0.47905606,1.51375,1,4.59E-06,,,
0.48064615,1.51363,1.1,5.11E-06,,,
0.48223624,1.51351,1.2,5.37E-06,,,
0.48382632,1.51339,1.3,5.35E-06,,,
0.48541635,1.51328,1.4,4.94E-06,,,
0.48700635,1.51316,1.5,4.23E-06,,,
0.48859634,1.51305,1.6,3.68E-06,,,
0.49018634,1.51293,1.7,3.66E-06,,,
0.49177621,1.51282,1.8,3.92E-06,,,
0.49336615,1.51271,1.9,4.19E-06,,,
0.49495599,1.5126,2,4.42E-06,,,
0.49654584,1.51249,2.1,4.48E-06,,,
0.49813565,1.51239,2.2,5.37E-06,,,
0.49972543,1.51228,2.3,5.08E-06,,,
0.50131519,1.51217,2.4,5.37E-06,,,
0.50290494,1.51207,2.5,6.32E-06,,,
0.50449463,1.51197,2.6,6.88E-06,,,
0.50608429,1.51186,2.7,1.02E-05,,,
0.50767389,1.51176,2.8,6.50E-05,,,
0.50926349,1.51166,2.9,7.93E-05,,,
0.51085303,1.51156,3,7.43E-05,,,
0.51244257,1.51146,3.1,7.42E-05,,,
0.5140321,1.51137,3.2,8.19E-05,,,
0.51562152,1.51127,3.3,9.34E-05,,,
0.51721094,1.51117,3.4,9.96E-05,,,
0.51880035,1.51108,3.5,1.07E-04,,,
0.52038971,1.51099,3.6,1.07E-04,,,
0.521979,1.51089,3.7,1.05E-04,,,
0.52356824,1.5108,3.8,1.03E-04,,,
0.52515753,1.51071,3.9,1.03E-04,,,
0.5267467,1.51062,4,1.06E-04,,,
0.52833588,1.51053,4.1,1.22E-04,,,
0.52992499,1.51044,4.2,1.44E-04,,,
0.5315141,1.51035,4.3,1.78E-04,,,
0.53310315,1.51026,4.4,2.25E-04,,,
0.53469214,1.51018,4.5,2.98E-04,,,
0.53628113,1.51009,4.6,7.44E-04,,,
0.53787006,1.51,5,0.003,,,
0.53945892,1.50992,6,0.005,,,
0.54104779,1.50984,7,0.008,,,
0.5426366,1.50975,8,0.028,,,
0.5442254,1.50967,8.2,0.061,,,
0.54581409,1.50959,8.4,0.216,,,
0.54740277,1.50951,8.5,0.354,,,
0.54899139,1.50943,8.7,0.543,,,
0.55057996,1.50935,9,0.759,,,
0.55216858,1.50927,9.2,0.938,,,
0.55375702,1.50919,9.4,1.123,,,
0.55534552,1.50911,9.5,1.187,,,
0.55693396,1.50904,9.6,1.232,,,
0.55852228,1.50896,9.8,1.24,,,
0.5601106,1.50888,10,1.123,,,
0.56169885,1.50881,10.5,0.809,,,
0.56328711,1.50874,11,0.485,,,
0.56487531,1.50866,11.5,0.286,,,
0.56646344,1.50859,12,0.222,,,
0.56805145,1.50852,12.5,0.244,,,
0.56963953,1.50844,13,0.306,,,
0.57122748,1.50837,13.5,0.304,,,
0.57281543,1.5083,14,0.28,,,
0.57440332,1.50823,14.5,0.269,,,
0.57599115,1.50816,15,0.299,,,
0.57757898,1.50809,,,,,
0.57916663,1.50802,,,,,
0.58075433,1.50795,,,,,
0.58234198,1.50789,,,,,
0.58392957,1.50782,,,,,
0.58551709,1.50775,,,,,
0.58710455,1.50769,,,,,
0.58869196,1.50762,,,,,
0.5902793,1.50756,,,,,
0.59186658,1.50749,,,,,
0.59345386,1.50743,,,,,
0.59504108,1.50736,,,,,
0.59662817,1.5073,,,,,
0.59821527,1.50724,,,,,
0.59980231,1.50718,,,,,
0.60138928,1.50712,,,,,
0.6029762,1.50705,,,,,
0.60456305,1.50699,,,,,
0.60614978,1.50693,,,,,
0.60773657,1.50687,,,,,
0.60932324,1.50681,,,,,
0.61090979,1.50675,,,,,
0.6124964,1.5067,,,,,
0.61408289,1.50664,,,,,
0.61566931,1.50658,,,,,
0.61725568,1.50652,,,,,
0.61884198,1.50646,,,,,
0.62042822,1.50641,,,,,
0.6220144,1.50635,,,,,
0.62360052,1.5063,,,,,
0.62518658,1.50624,,,,,
0.62677258,1.50619,,,,,
0.62835852,1.50613,,,,,
0.6299444,1.50608,,,,,
0.63153015,1.50602,,,,,
0.63311591,1.50597,,,,,
0.63470154,1.50592,,,,,
0.63628717,1.50586,,,,,
0.63787268,1.50581,,,,,
0.63945813,1.50576,,,,,
0.64104358,1.50571,,,,,
0.64262891,1.50566,,,,,
0.64421417,1.50561,,,,,
0.64579932,1.50556,,,,,
0.64738446,1.5055,,,,,
0.64896948,1.50546,,,,,
0.6505545,1.50541,,,,,
0.6521394,1.50536,,,,,
0.65372424,1.50531,,,,,
0.65530896,1.50526,,,,,
0.65689368,1.50521,,,,,
0.65847833,1.50516,,,,,
0.66006287,1.50511,,,,,
0.66164734,1.50507,,,,,
0.66323175,1.50502,,,,,
0.66481604,1.50497,,,,,
0.66640027,1.50493,,,,,
0.6679845,1.50488,,,,,
0.6695686,1.50483,,,,,
0.67115259,1.50479,,,,,
0.67273657,1.50474,,,,,
0.67432043,1.5047,,,,,
0.67590424,1.50465,,,,,
0.67748792,1.50461,,,,,
0.67907159,1.50456,,,,,
0.68065515,1.50452,,,,,
0.68223865,1.50448,,,,,
0.68382202,1.50443,,,,,
0.6854054,1.50439,,,,,
0.68698859,1.50435,,,,,
0.68857172,1.5043,,,,,
0.69015485,1.50426,,,,,
0.69173785,1.50422,,,,,
0.69332074,1.50418,,,,,
0.69490356,1.50414,,,,,
0.69648633,1.50409,,,,,
0.69806897,1.50405,,,,,
0.69965161,1.50401,,,,,
0.70123407,1.50397,,,,,
0.70281653,1.50393,,,,,
0.7043988,1.50389,,,,,
0.70598108,1.50385,,,,,
0.70756323,1.50381,,,,,
0.70914532,1.50377,,,,,
0.7107273,1.50373,,,,,
0.7123092,1.50369,,,,,
0.71389099,1.50365,,,,,
0.71547278,1.50361,,,,,
0.71705438,1.50358,,,,,
0.71863593,1.50354,,,,,
0.72021741,1.5035,,,,,
0.72179877,1.50346,,,,,
0.72338,1.50342,,,,,
0.72496124,1.50339,,,,,
0.72654236,1.50335,,,,,
0.72812335,1.50331,,,,,
0.72970422,1.50327,,,,,
0.73128509,1.50324,,,,,
0.73286585,1.5032,,,,,
0.73444647,1.50317,,,,,
0.73602698,1.50313,,,,,
0.73760748,1.50309,,,,,
0.73918787,1.50306,,,,,
0.74076807,1.50302,,,,,
0.74234827,1.50299,,,,,
0.74392835,1.50295,,,,,
0.7455083,1.50292,,,,,
0.7470882,1.50288,,,,,
0.74866797,1.50285,,,,,
