wl,n,wl,k
0.401230267,1.526087867,0.399884003,0.068956026
0.408643746,1.530384839,0.408636327,0.067171927
0.419166105,1.534238823,0.430517139,0.061883345
0.432558198,1.536232264,0.462608996,0.05583015
0.449537458,1.537206834,0.501265096,0.050541568
0.471777898,1.537118237,0.539556516,0.046591062
0.49521406,1.53601077,0.568730932,0.04455209
0.516976211,1.534194525,0.600458108,0.043723758
0.53969494,1.531758097,0.624162321,0.044042348
0.555717622,1.529720358,0.692722197,0.046909651
0.574610039,1.526929542,0.730648937,0.048056572
0.596850479,1.523474245,0.762011434,0.048566315
0.620286641,1.519797455,0.790456489,0.048884904
0.641092214,1.516607951,0.817807503,0.049458365
0.662854364,1.513994329,0.839688315,0.050095543
0.682703359,1.511690798,0.860110405,0.051051311
0.705422088,1.509387267,0.883085257,0.052325668
0.730771406,1.506817944,0.898037145,0.053408871
0.759947037,1.50393853,,
0.783861488,1.501059116,,
0.803710483,1.498401196,,
0.828820657,1.49492375,,
0.848669651,1.492155083,,
0.867562068,1.489187072,,
0.896259409,1.485067295,,
