wl,n,wl,k
5.8,6.41,5.8,5.13
5.9,6.48,5.9,5.14
6,6.54,6,5.15
6.1,6.61,6.1,5.16
6.2,6.67,6.2,5.17
6.3,6.73,6.3,5.17
6.4,6.79,6.4,5.17
6.5,6.85,6.5,5.17
6.6,6.91,6.6,5.17
6.7,6.97,6.7,5.17
6.8,7.02,6.8,5.17
6.9,7.08,6.9,5.17
7,7.13,7,5.16
7.1,7.18,7.1,5.16
7.2,7.23,7.2,5.15
7.3,7.27,7.3,5.15
7.4,7.32,7.4,5.14
7.5,7.36,7.5,5.13
7.6,7.41,7.6,5.12
7.7,7.45,7.7,5.11
7.8,7.49,7.8,5.1
7.9,7.53,7.9,5.09
8,7.56,8,5.08
8.1,7.6,8.1,5.07
8.2,7.63,8.2,5.06
8.3,7.67,8.3,5.05
8.4,7.7,8.4,5.03
8.5,7.74,8.5,5.02
8.6,7.77,8.6,5
8.7,7.8,8.7,4.98
8.8,7.84,8.8,4.96
8.9,7.89,8.9,4.93
9,7.93,9,4.88
9.1,7.98,9.1,4.81
9.2,8.01,9.2,4.7
9.3,7.99,9.3,4.56
9.4,7.9,9.4,4.42
9.5,7.73,9.5,4.31
9.6,7.52,9.6,4.28
9.7,7.29,9.7,4.34
9.8,7.09,9.8,4.48
9.9,6.96,9.9,4.71
10,6.91,10,4.98
10.1,6.99,10.1,5.24
10.2,7.17,10.2,5.44
10.3,7.4,10.3,5.51
10.4,7.6,10.4,5.47
10.5,7.71,10.5,5.36
10.6,7.73,10.6,5.23
10.7,7.67,10.7,5.14
10.8,7.58,10.8,5.12
10.9,7.5,10.9,5.15
11,7.43,11,5.21
11.1,7.4,11.1,5.29
11.2,7.38,11.2,5.38
11.3,7.38,11.3,5.46
11.4,7.39,11.4,5.53
11.5,7.41,11.5,5.6
11.6,7.43,11.6,5.67
11.7,7.45,11.7,5.73
11.8,7.48,11.8,5.79
11.9,7.51,11.9,5.85
12,7.54,12,5.91
12.1,7.57,12.1,5.96
12.2,7.61,12.2,6.01
12.3,7.64,12.3,6.06
12.4,7.68,12.4,6.11
12.5,7.72,12.5,6.16
12.6,7.76,12.6,6.2
12.7,7.79,12.7,6.25
12.8,7.83,12.8,6.29
12.9,7.87,12.9,6.33
13,7.91,13,6.37
13.1,7.95,13.1,6.41
13.2,7.99,13.2,6.44
13.3,8.03,13.3,6.48
13.4,8.07,13.4,6.51
13.5,8.11,13.5,6.55
13.6,8.15,13.6,6.58
13.7,8.2,13.7,6.61
13.8,8.24,13.8,6.64
13.9,8.28,13.9,6.67
14,8.32,14,6.7
14.1,8.36,14.1,6.73
14.2,8.4,14.2,6.75
14.3,8.44,14.3,6.78
14.4,8.48,14.4,6.81
14.5,8.52,14.5,6.83
14.6,8.56,14.6,6.86
14.7,8.6,14.7,6.88
14.8,8.64,14.8,6.9
14.9,8.68,14.9,6.92
15,8.72,15,6.95
