wl,n,wl,k,
9.530E+00,9.13E+00,9.530E+00,6.60E+01,
9.670E+00,9.39E+00,9.670E+00,6.69E+01,
9.820E+00,9.67E+00,9.820E+00,6.79E+01,
9.970E+00,9.95E+00,9.970E+00,6.89E+01,
1.010E+01,1.03E+01,1.010E+01,6.99E+01,
1.030E+01,1.06E+01,1.030E+01,7.09E+01,
1.050E+01,1.09E+01,1.050E+01,7.20E+01,
1.060E+01,1.12E+01,1.060E+01,7.31E+01,
1.080E+01,1.16E+01,1.080E+01,7.42E+01,
1.100E+01,1.20E+01,1.100E+01,7.54E+01,
1.120E+01,1.23E+01,1.120E+01,7.66E+01,
1.140E+01,1.28E+01,1.140E+01,7.78E+01,
1.160E+01,1.32E+01,1.160E+01,7.91E+01,
1.180E+01,1.36E+01,1.180E+01,8.04E+01,
1.200E+01,1.41E+01,1.200E+01,8.18E+01,
1.220E+01,1.46E+01,1.220E+01,8.32E+01,
1.250E+01,1.51E+01,1.250E+01,8.47E+01,
1.270E+01,1.57E+01,1.270E+01,8.62E+01,
1.300E+01,1.63E+01,1.300E+01,8.77E+01,
1.320E+01,1.69E+01,1.320E+01,8.94E+01,
1.350E+01,1.75E+01,1.350E+01,9.10E+01,
1.380E+01,1.82E+01,1.380E+01,9.28E+01,
1.410E+01,1.89E+01,1.410E+01,9.46E+01,
1.440E+01,1.97E+01,1.440E+01,9.64E+01,
1.470E+01,2.05E+01,1.470E+01,9.84E+01,
1.510E+01,2.14E+01,1.510E+01,1.00E+02,
1.540E+01,2.23E+01,1.540E+01,1.03E+02,
1.580E+01,2.33E+01,1.580E+01,1.05E+02,
1.620E+01,2.43E+01,1.620E+01,1.07E+02,
1.660E+01,2.54E+01,1.660E+01,1.09E+02,
1.710E+01,2.66E+01,1.710E+01,1.12E+02,
1.750E+01,2.79E+01,1.750E+01,1.14E+02,
1.800E+01,2.92E+01,1.800E+01,1.17E+02,
1.850E+01,3.07E+01,1.850E+01,1.20E+02,
1.910E+01,3.22E+01,1.910E+01,1.23E+02,
1.960E+01,3.39E+01,1.960E+01,1.26E+02,
2.030E+01,3.57E+01,2.030E+01,1.29E+02,
2.090E+01,3.76E+01,2.090E+01,1.32E+02,
2.160E+01,3.97E+01,2.160E+01,1.36E+02,
2.240E+01,4.19E+01,2.240E+01,1.39E+02,
2.310E+01,4.43E+01,2.310E+01,1.43E+02,
2.400E+01,4.69E+01,2.400E+01,1.47E+02,
2.490E+01,4.98E+01,2.490E+01,1.51E+02,
