wl,n,wl,k
2.92,1.000272825,2.92,0
2.93,1.000272825,2.93,0
2.94,1.000272824,2.94,0
2.95,1.000272824,2.95,0
2.96,1.000272824,2.96,0
2.97,1.000272824,2.97,0
2.98,1.000272824,2.98,0
2.99,1.000272824,2.99,0
3,1.000272824,3,0
3.01,1.000272825,3.01,0
3.02,1.000272824,3.02,0
3.03,1.000272824,3.03,0
3.04,1.000272824,3.04,0
3.05,1.000272824,3.05,0
3.06,1.000272824,3.06,0
3.07,1.000272823,3.07,0
3.08,1.000272823,3.08,0
3.09,1.000272822,3.09,0
3.1,1.000272821,3.1,0
3.11,1.00027282,3.11,0
3.12,1.00027282,3.12,0
3.13,1.000272818,3.13,0
3.14,1.000272817,3.14,0
3.15,1.000272816,3.15,0
3.16,1.000272815,3.16,0
3.17,1.000272813,3.17,0
3.18,1.000272812,3.18,0
3.19,1.00027281,3.19,0
3.2,1.000272808,3.2,0
3.21,1.000272807,3.21,0
3.22,1.000272805,3.22,0
3.23,1.000272803,3.23,0
3.24,1.000272801,3.24,0
3.25,1.0002728,3.25,0
3.26,1.000272798,3.26,0
3.27,1.000272796,3.27,0
3.28,1.000272794,3.28,0
3.29,1.000272792,3.29,0
3.3,1.00027279,3.3,0
3.31,1.000272788,3.31,0
3.32,1.000272786,3.32,0
3.33,1.000272785,3.33,0
3.34,1.000272783,3.34,0
3.35,1.000272781,3.35,0
3.36,1.000272779,3.36,0
3.37,1.000272778,3.37,0
3.38,1.000272776,3.38,0
3.39,1.000272774,3.39,0
3.4,1.000272773,3.4,0
3.41,1.000272772,3.41,0
3.42,1.00027277,3.42,0
3.43,1.000272769,3.43,0
3.44,1.000272768,3.44,0
3.45,1.000272767,3.45,0
3.46,1.000272765,3.46,0
3.47,1.000272764,3.47,0
3.48,1.000272764,3.48,0
3.49,1.000272763,3.49,0
3.5,1.000272762,3.5,0
3.51,1.000272761,3.51,0
3.52,1.00027276,3.52,0
3.53,1.00027276,3.53,0
3.54,1.000272759,3.54,0
3.55,1.000272759,3.55,0
3.56,1.000272758,3.56,0
3.57,1.000272758,3.57,0
3.58,1.000272758,3.58,0
3.59,1.000272757,3.59,0
3.6,1.000272757,3.6,0
3.61,1.000272757,3.61,0
