wl,n,wl,k
6,2.68,6,0.03
6.1,2.68,6.1,0.03
6.2,2.67,6.2,0.03
6.3,2.66,6.3,0.03
6.4,2.66,6.4,0.03
6.5,2.65,6.5,0.03
6.6,2.64,6.6,0.03
6.7,2.64,6.7,0.03
6.8,2.63,6.8,0.03
6.9,2.62,6.9,0.03
7,2.62,7,0.03
7.1,2.61,7.1,0.03
7.2,2.6,7.2,0.03
7.3,2.59,7.3,0.03
7.4,2.59,7.4,0.03
7.5,2.58,7.5,0.03
7.6,2.57,7.6,0.03
7.7,2.56,7.7,0.03
7.8,2.55,7.8,0.03
7.9,2.54,7.9,0.03
8,2.53,8,0.03
8.1,2.52,8.1,0.03
8.2,2.51,8.2,0.03
8.3,2.5,8.3,0.03
8.4,2.49,8.4,0.03
8.5,2.48,8.5,0.03
8.6,2.47,8.6,0.03
8.7,2.46,8.7,0.03
8.8,2.44,8.8,0.03
8.9,2.43,8.9,0.03
9,2.42,9,0.03
9.1,2.4,9.1,0.03
9.2,2.39,9.2,0.03
9.3,2.38,9.3,0.03
9.4,2.36,9.4,0.03
9.5,2.34,9.5,0.03
9.6,2.33,9.6,0.03
9.7,2.31,9.7,0.03
9.8,2.29,9.8,0.03
9.9,2.27,9.9,0.03
10,2.25,10,0.03
10.1,2.23,10.1,0.03
10.2,2.21,10.2,0.04
10.3,2.19,10.3,0.04
10.4,2.16,10.4,0.04
10.5,2.14,10.5,0.04
10.6,2.11,10.6,0.04
10.7,2.08,10.7,0.04
10.8,2.05,10.8,0.05
10.9,2.02,10.9,0.05
11,1.98,11,0.06
11.1,1.94,11.1,0.06
11.2,1.9,11.2,0.07
11.3,1.86,11.3,0.08
11.4,1.81,11.4,0.1
11.5,1.76,11.5,0.12
11.6,1.71,11.6,0.14
11.7,1.66,11.7,0.17
11.8,1.6,11.8,0.2
11.9,1.54,11.9,0.24
12,1.49,12,0.29
12.1,1.43,12.1,0.35
12.2,1.38,12.2,0.41
12.3,1.33,12.3,0.49
12.4,1.3,12.4,0.57
12.5,1.27,12.5,0.66
12.6,1.25,12.6,0.76
12.7,1.25,12.7,0.85
12.8,1.25,12.8,0.94
12.9,1.26,12.9,1.03
13,1.29,13,1.11
13.1,1.31,13.1,1.19
13.2,1.34,13.2,1.26
13.3,1.38,13.3,1.33
13.4,1.42,13.4,1.39
13.5,1.46,13.5,1.45
13.6,1.5,13.6,1.5
13.7,1.54,13.7,1.55
13.8,1.58,13.8,1.59
13.9,1.62,13.9,1.63
14,1.66,14,1.66
14.1,1.7,14.1,1.69
14.2,1.73,14.2,1.73
14.3,1.77,14.3,1.75
14.4,1.8,14.4,1.78
14.5,1.82,14.5,1.82
14.6,1.84,14.6,1.85
14.7,1.87,14.7,1.89
14.8,1.89,14.8,1.94
14.9,1.92,14.9,1.99
15,1.95,15,2.06
