wl,n,wl,k
1.38,1.56461,1.38,6.25E-06
1.39,1.56421,1.39,6.31E-06
1.4,1.56445,1.4,6.30E-06
1.41,1.56412,1.41,6.36E-06
1.42,1.56444,1.42,4.92E-06
1.43,1.56402,1.43,5.01E-06
1.44,1.56424,1.44,4.34E-06
1.45,1.56437,1.45,4.10E-06
1.46,1.5639,1.46,3.99E-06
1.47,1.56424,1.47,3.81E-06
1.48,1.56429,1.48,1.77E-06
1.49,1.56369,1.49,2.98E-06
1.5,1.56382,1.5,2.35E-06
1.51,1.56323,1.51,2.00E-06
1.52,1.56322,1.52,1.81E-06
1.53,1.56359,1.53,1.62E-06
1.54,1.56327,1.54,1.64E-06
1.55,1.5633,1.55,1.75E-06
1.56,1.56296,1.56,1.77E-06
1.57,1.56293,1.57,1.88E-06
1.58,1.56268,1.58,2.34E-06
1.59,1.56185,1.59,2.89E-06
1.6,1.56301,1.6,4.09E-06
1.61,1.56208,1.61,5.99E-06
1.62,1.56231,1.62,1.10E-05
1.63,1.56294,1.63,1.56E-05
1.64,1.56223,1.64,2.53E-05
1.65,1.56066,1.65,4.53E-05
1.66,1.5612,1.66,8.08E-05
1.67,1.56056,1.67,1.15E-04
1.68,1.56189,1.68,6.85E-05
1.69,1.56204,1.69,7.27E-05
1.7,1.56157,1.7,5.86E-05
1.71,1.56224,1.71,3.32E-05
1.72,1.56075,1.72,3.15E-05
1.73,1.56173,1.73,3.53E-05
1.74,1.56045,1.74,3.29E-05
1.75,1.56077,1.75,1.96E-05
1.76,1.56156,1.76,2.00E-05
1.77,1.56322,1.77,2.18E-05
1.78,1.56103,1.78,1.44E-05
1.79,1.56213,1.79,1.37E-05
1.8,1.56223,1.8,1.46E-05
1.81,1.56313,1.81,1.49E-05
1.82,1.56115,1.82,1.54E-05
1.83,1.55994,1.83,1.66E-05
1.84,1.5604,1.84,1.47E-05
1.85,1.55955,1.85,1.50E-05
1.86,1.5621,1.86,1.44E-05
1.87,1.5608,1.87,1.57E-05
1.88,1.56066,1.88,1.60E-05
1.89,1.56037,1.89,2.11E-05
1.9,1.56051,1.9,3.58E-05
1.91,1.56051,1.91,2.26E-05
1.92,1.55903,1.92,1.57E-05
1.93,1.56167,1.93,1.55E-05
1.94,1.55875,1.94,1.49E-05
1.95,1.56094,1.95,1.35E-05
1.96,1.56057,1.96,1.33E-05
1.97,1.5603,1.97,1.39E-05
1.98,1.56013,1.98,1.36E-05
1.99,1.55991,1.99,1.41E-05
2,1.56142,2,1.53E-05
2.0097,1.63942,2.0097,1.85E-05
2.019,1.634,2.019,1.97E-05
2.0285,1.62347,2.0285,2.17E-05
2.0381,1.60788,2.0381,2.51E-05
2.0478,1.59376,2.0478,2.89E-05
2.0575,1.58445,2.0575,3.22E-05
2.0673,1.58142,2.0673,3.39E-05
2.0773,1.58183,2.0773,3.39E-05
2.0873,1.57798,2.0873,3.54E-05
2.0975,1.57021,2.0975,4.15E-05
2.1077,1.56257,2.1077,5.46E-05
2.118,1.55683,2.118,7.91E-05
2.1285,1.55442,2.1285,1.17E-04
2.139,1.55375,2.139,1.52E-04
2.1496,1.55357,2.1496,1.57E-04
2.1568,1.55437,2.1568,1.42E-04
2.1676,1.55548,2.1676,1.15E-04
2.1785,1.55507,2.1785,1.02E-04
2.1896,1.55515,2.1896,9.07E-05
2.197,1.55618,2.197,8.06E-05
2.2082,1.55687,2.2082,7.28E-05
2.2196,1.5552,2.2196,7.74E-05
2.2272,1.55435,2.2272,8.61E-05
2.2387,1.55446,2.2387,1.03E-04
2.2465,1.55444,2.2465,1.16E-04
2.2582,1.5543,2.2582,1.46E-04
2.2661,1.55482,2.2661,2.79E-03
2.2781,1.55451,2.2781,3.50E-03
2.2861,1.55409,2.2861,3.23E-03
2.2983,1.55394,2.2983,2.84E-03
2.3065,1.55423,2.3065,2.16E-03
2.3188,1.55392,2.3188,1.37E-03
2.3272,1.55379,2.3272,1.51E-03
2.3398,1.55415,2.3398,1.66E-03
2.3482,1.55368,2.3482,1.86E-03
2.3568,1.55274,2.3568,2.29E-03
2.3697,1.5524,2.3697,2.53E-03
2.3784,1.55318,2.3784,2.39E-03
2.3872,1.55375,2.3872,2.34E-03
2.396,1.55352,2.396,2.24E-03
2.4093,1.55327,2.4093,1.29E-03
2.4183,1.55331,2.4183,8.38E-04
2.4274,1.55298,2.4274,1.26E-03
2.4365,1.55267,2.4365,1.61E-03
2.4457,1.55276,2.4457,1.84E-03
2.4596,1.55304,2.4596,2.01E-03
2.469,1.55272,2.469,1.91E-03
2.4784,1.5524,2.4784,1.65E-03
2.488,1.55236,2.488,1.36E-03
2.4975,1.55266,2.4975,1.62E-03
2.5072,1.55295,2.5072,1.75E-03
2.5169,1.55254,2.5169,1.76E-03
2.5268,1.55184,2.5268,1.84E-03
2.5366,1.55222,2.5366,1.71E-03
2.5466,1.55279,2.5466,1.69E-03
2.5567,1.55271,2.5567,1.89E-03
2.5668,1.55229,2.5668,1.93E-03
2.577,1.5517,2.577,2.33E-03
2.5873,1.55114,2.5873,2.40E-03
2.5976,1.55052,2.5976,1.67E-04
2.6081,1.55089,2.6081,1.57E-04
2.6186,1.55193,2.6186,1.53E-04
2.6293,1.55241,2.6293,1.47E-04
2.64,1.5525,2.64,1.38E-04
2.6454,1.55261,2.6454,1.37E-04
2.6562,1.55272,2.6562,1.43E-04
2.6671,1.55193,2.6671,1.59E-04
2.6782,1.55097,2.6782,1.68E-04
2.6893,1.55141,2.6893,1.75E-04
2.6949,1.55163,2.6949,2.39E-03
2.7061,1.5521,2.7061,2.38E-03
2.7175,1.5521,2.7175,2.34E-03
2.7289,1.5516,2.7289,1.82E-03
2.7347,1.5517,2.7347,1.43E-03
2.7462,1.55212,2.7462,1.14E-03
2.7579,1.55168,2.7579,1.61E-03
2.7697,1.55098,2.7697,1.36E-03
2.7756,1.55073,2.7756,1.31E-03
2.7876,1.55133,2.7876,1.91E-03
2.7996,1.55174,2.7996,1.90E-03
2.8057,1.55133,2.8057,1.48E-03
2.8179,1.5497,2.8179,8.07E-04
2.824,1.54882,2.824,1.15E-03
2.8364,1.54867,2.8364,1.96E-03
2.8489,1.5499,2.8489,2.33E-03
2.8551,1.55023,2.8551,2.34E-03
2.8678,1.54956,2.8678,1.55E-03
2.8741,1.54906,2.8741,1.21E-03
2.8869,1.54908,2.8869,1.49E-03
2.8998,1.54905,2.8998,1.84E-03
2.9063,1.5489,2.9063,1.89E-03
2.9194,1.55003,2.9194,1.84E-03
2.926,1.55085,2.926,1.74E-03
2.9393,1.55037,2.9393,1.87E-03
2.946,1.54949,2.946,1.83E-03
2.9594,1.54861,2.9594,1.98E-03
2.9662,1.54899,2.9662,1.93E-03
2.9798,1.55,2.9798,2.09E-03
2.9867,1.54994,2.9867,2.52E-03
2.9936,1.54954,2.9936,2.78E-03
3.0075,1.54825,3.0075,2.26E-03
3.0145,1.54754,3.0145,1.71E-03
3.0286,1.54722,3.0286,1.20E-03
3.0357,1.54754,3.0357,1.33E-03
3.0499,1.5478,3.0499,1.47E-03
3.0571,1.54764,3.0571,1.34E-03
3.0644,1.54732,3.0644,1.37E-03
3.0789,1.54695,3.0789,1.79E-03
3.0863,1.54665,3.0863,1.88E-03
3.0936,1.54619,3.0936,1.86E-03
3.1085,1.54623,3.1085,1.91E-03
3.1159,1.54659,3.1159,2.02E-03
3.1234,1.54676,3.1234,2.13E-03
3.1386,1.54625,3.1386,2.27E-03
3.1462,1.5459,3.1462,2.35E-03
3.1538,1.54548,3.1538,2.44E-03
3.1693,1.5446,3.1693,2.30E-03
3.177,1.5444,3.177,2.11E-03
3.1848,1.5442,3.1848,2.12E-03
3.1927,1.54402,3.1927,2.33E-03
3.2085,1.5437,3.2085,3.19E-03
3.2164,1.54332,3.2164,3.75E-03
3.2244,1.5429,3.2244,4.06E-03
3.2325,1.54244,3.2325,4.21E-03
3.2487,1.54192,3.2487,5.15E-03
3.2569,1.54187,3.2569,5.80E-03
3.2651,1.54211,3.2651,6.34E-03
3.2733,1.54279,3.2733,6.67E-03
3.2899,1.54436,3.2899,6.46E-03
3.2983,1.54439,3.2983,5.72E-03
3.3067,1.54335,3.3067,4.89E-03
3.3152,1.54137,3.3152,4.55E-03
3.3237,1.53881,3.3237,5.21E-03
3.3322,1.53594,3.3322,7.29E-03
3.3494,1.53373,3.3494,1.69E-02
3.3581,1.53779,3.3581,2.26E-02
3.3668,1.54555,3.3668,2.51E-02
3.3756,1.55297,3.3756,2.26E-02
3.3844,1.55601,3.3844,1.74E-02
3.3933,1.55542,3.3933,1.38E-02
3.4022,1.55456,3.4022,1.26E-02
3.4111,1.55466,3.4111,1.17E-02
3.4292,1.55535,3.4292,8.67E-03
3.4383,1.55481,3.4383,7.57E-03
3.4474,1.55365,3.4474,6.84E-03
3.4566,1.55253,3.4566,6.77E-03
3.4658,1.55223,3.4658,7.28E-03
3.4751,1.55298,3.4751,7.70E-03
3.4845,1.55429,3.4845,7.06E-03
3.4939,1.55501,3.4939,5.47E-03
3.5033,1.55454,3.5033,4.07E-03
3.5128,1.55337,3.5128,3.16E-03
3.5224,1.55241,3.5224,2.34E-03
3.532,1.55166,3.532,1.72E-03
3.5416,1.55112,3.5416,1.58E-03
3.5513,1.55078,3.5513,1.83E-03
3.5611,1.55037,3.5611,1.89E-03
3.5709,1.54996,3.5709,1.67E-03
3.5807,1.54964,3.5807,1.50E-03
3.5907,1.54919,3.5907,1.55E-03
3.6006,1.54874,3.6006,1.74E-03
3.6107,1.54859,3.6107,1.92E-03
3.6207,1.54847,3.6207,1.96E-03
3.6309,1.54824,3.6309,1.96E-03
3.6411,1.54809,3.6411,1.86E-03
3.6513,1.54784,3.6513,1.54E-03
3.6617,1.54755,3.6617,1.47E-03
3.672,1.54753,3.672,1.72E-03
3.6825,1.54739,3.6825,1.76E-03
3.693,1.54679,3.693,1.53E-03
3.7035,1.5462,3.7035,1.54E-03
3.7141,1.54601,3.7141,1.71E-03
