wl,n,wl,k
0.3,2.39,0.3,0.24
0.325,2.26,0.325,0.12
0.35,2.14,0.35,0.06
0.375,2.05,0.375,0.04
0.4,1.98,0.4,0.03
0.425,1.93,0.425,0.04
0.45,1.88,0.45,0.05
0.475,1.85,0.475,0.07
0.5,1.82,0.5,0.09
0.55,1.78,0.55,0.13
0.6,1.75,0.6,0.17
0.65,1.74,0.65,0.22
0.7,1.74,0.7,0.28
0.75,1.76,0.75,0.32
0.8,1.79,0.8,0.36
0.85,1.82,0.85,0.4
0.9,1.86,0.9,0.42
0.95,1.9,0.95,0.43
1,1.93,1,0.44
1.05,1.97,1.05,0.45
1.1,2,1.1,0.45
1.15,2.02,1.15,0.44
1.2,2.05,1.2,0.44
1.25,2.07,1.25,0.43
1.3,2.1,1.3,0.42
1.35,2.11,1.35,0.41
1.4,2.13,1.4,0.4
1.45,2.15,1.45,0.39
1.5,2.16,1.5,0.39
1.55,2.17,1.55,0.38
1.6,2.18,1.6,0.37
1.65,2.19,1.65,0.36
1.7,2.2,1.7,0.35
1.75,2.21,1.75,0.34
1.8,2.22,1.8,0.33
1.85,2.23,1.85,0.33
1.9,2.23,1.9,0.32
1.95,2.24,1.95,0.31
2,2.24,2,0.3
2.1,2.25,2.1,0.29
2.2,2.26,2.2,0.28
2.3,2.27,2.3,0.27
2.4,2.28,2.4,0.26
2.5,2.28,2.5,0.25
