Wavelength (um),Rel. global irradiance
1.39,4.93E-01
1.391,3.44E-01
1.392,2.38E-02
1.393,1.16E-01
1.394,7.55E-02
1.395,6.71E-04
1.396,6.32E-06
1.397,4.91E-02
1.398,1.27E+00
1.399,8.12E-01
1.4,3.25E-06
1.401,1.05E-05
1.402,1.84E+00
1.403,2.38E+00
1.404,7.39E-01
1.405,3.64E-04
1.406,2.04E+00
1.407,1.75E-01
1.408,1.65E+00
1.409,6.19E-01
1.41,4.67E-01
1.411,2.11E+00
1.412,2.64E+00
1.413,2.34E+01
1.414,3.64E-01
1.415,1.84E-01
1.416,3.56E+01
1.417,1.18E+01
1.418,1.36E+01
1.419,2.14E+00
1.42,8.27E+00
1.421,9.16E+00
1.422,4.63E+01
1.423,9.22E+00
1.424,1.70E+01
1.425,2.59E+01
1.426,2.78E+01
1.427,4.95E+01
1.428,4.56E+00
1.429,3.80E+01
1.43,6.16E+01
1.431,5.02E+01
1.432,2.52E+00
1.433,3.58E+01
1.434,2.10E+01
1.435,2.14E+01
1.436,3.84E+01
1.437,2.99E+01
1.438,1.33E+01
1.439,5.10E+01
1.44,3.96E+01
1.441,3.18E+01
1.442,3.63E+01
1.443,4.51E+01
1.444,6.18E+01
1.445,4.98E+01
1.446,2.31E+01
1.447,3.62E+01
1.448,1.16E+02
1.449,1.02E+02
1.45,2.74E+01
1.451,1.13E+01
1.452,6.24E+01
1.453,8.20E+01
1.454,1.38E+02
1.455,6.62E+01
1.456,8.85E+01
1.457,1.17E+02
1.458,1.36E+02
1.459,1.63E+02
1.46,8.54E+01
1.461,9.03E+01
1.462,1.31E+02
1.463,4.32E+01
1.464,1.52E+02
1.465,9.34E+01
1.466,6.52E+01
1.467,3.61E+01
1.468,7.69E+01
1.469,9.48E+01
1.47,4.97E+01
1.471,1.78E+01
1.472,4.68E+01
1.473,7.02E+01
1.474,9.73E+01
1.475,1.85E+02
1.476,6.88E+01
1.477,6.97E+01
1.478,6.35E+01
1.479,1.20E+02
1.48,6.06E+01
1.481,1.15E+02
1.482,5.85E+01
1.483,1.49E+02
1.484,1.37E+02
1.485,1.25E+02
1.486,1.23E+02
1.487,6.06E+01
1.488,9.42E+01
1.489,1.90E+02
1.49,1.75E+02
1.491,1.98E+02
1.492,1.64E+02
1.493,1.82E+02
1.494,2.04E+02
1.495,1.83E+02
1.496,1.69E+02
1.497,2.29E+02
1.498,1.90E+02
1.499,2.18E+02
1.5,2.51E+02
1.501,2.66E+02
1.502,2.34E+02
1.503,1.85E+02
1.504,1.60E+02
1.505,1.84E+02
1.506,2.58E+02
1.507,2.55E+02
1.508,2.43E+02
1.509,1.87E+02
1.51,2.71E+02
1.511,2.65E+02
1.512,2.61E+02
1.513,2.42E+02
1.514,2.26E+02
1.515,2.66E+02
1.516,2.57E+02
1.517,2.49E+02
1.518,2.52E+02
1.519,2.44E+02
1.52,2.65E+02
1.521,2.75E+02
1.522,2.64E+02
1.523,2.80E+02
1.524,2.75E+02
1.525,2.59E+02
1.526,2.67E+02
1.527,2.62E+02
1.528,2.79E+02
1.529,2.72E+02
1.53,2.55E+02
1.531,2.70E+02
1.532,2.78E+02
1.533,2.77E+02
1.534,2.69E+02
1.535,2.67E+02
1.536,2.75E+02
1.537,2.73E+02
1.538,2.72E+02
1.539,2.73E+02
1.54,2.65E+02
1.541,2.69E+02
1.542,2.69E+02
1.543,2.72E+02
1.544,2.72E+02
1.545,2.77E+02
1.546,2.75E+02
1.547,2.73E+02
1.548,2.67E+02
1.549,2.73E+02
1.55,2.70E+02
1.551,2.71E+02
1.552,2.72E+02
1.553,2.71E+02
1.554,2.65E+02
1.555,2.68E+02
1.556,2.63E+02
1.557,2.71E+02
1.558,2.68E+02
1.559,2.68E+02
1.56,2.66E+02
1.561,2.70E+02
1.562,2.68E+02
1.563,2.67E+02
1.564,2.63E+02
1.565,2.67E+02
1.566,2.62E+02
1.567,2.63E+02
1.568,2.57E+02
1.569,2.55E+02
1.57,2.42E+02
1.571,2.35E+02
1.572,2.38E+02
1.573,2.34E+02
1.574,2.41E+02
1.575,2.40E+02
1.576,2.47E+02
1.577,2.16E+02
1.578,2.35E+02
1.579,2.37E+02
1.58,2.45E+02
1.581,2.49E+02
1.582,2.42E+02
1.583,2.48E+02
1.584,2.49E+02
1.585,2.59E+02
1.586,2.56E+02
1.587,2.53E+02
1.588,2.51E+02
1.589,2.32E+02
1.59,2.42E+02
1.591,2.42E+02
1.592,2.52E+02
1.593,2.58E+02
1.594,2.56E+02
1.595,2.58E+02
1.596,2.45E+02
1.597,2.47E+02
1.598,2.54E+02
1.599,2.42E+02
1.6,2.38E+02
1.601,2.23E+02
1.602,2.24E+02
1.603,2.24E+02
1.604,2.28E+02
1.605,2.37E+02
1.606,2.41E+02
1.607,2.33E+02
1.608,2.30E+02
1.609,2.27E+02
1.61,2.18E+02
1.611,2.27E+02
1.612,2.31E+02
1.613,2.37E+02
1.614,2.38E+02
1.615,2.41E+02
1.616,2.31E+02
1.617,2.35E+02
1.618,2.44E+02
1.619,2.41E+02
1.62,2.34E+02
1.621,2.34E+02
1.622,2.38E+02
1.623,2.42E+02
1.624,2.43E+02
1.625,2.38E+02
1.626,2.40E+02
1.627,2.41E+02
1.628,2.41E+02
1.629,2.41E+02
1.63,2.37E+02
1.631,2.38E+02
1.632,2.38E+02
1.633,2.33E+02
1.634,2.33E+02
1.635,2.34E+02
1.636,2.35E+02
1.637,2.27E+02
1.638,2.20E+02
1.639,2.20E+02
1.64,2.15E+02
1.641,2.20E+02
1.642,2.21E+02
1.643,2.15E+02
1.644,2.24E+02
1.645,2.18E+02
1.646,2.17E+02
1.647,2.28E+02
1.648,2.17E+02
1.649,2.19E+02
1.65,2.25E+02
1.651,2.09E+02
1.652,2.24E+02
1.653,2.23E+02
1.654,2.16E+02
1.655,2.22E+02
1.656,2.21E+02
1.657,2.22E+02
1.658,2.25E+02
1.659,2.21E+02
1.66,2.23E+02
1.661,2.24E+02
1.662,2.19E+02
1.663,2.22E+02
1.664,2.21E+02
1.665,2.12E+02
1.666,1.79E+02
1.667,2.11E+02
1.668,2.15E+02
1.669,2.15E+02
1.67,2.22E+02
1.671,2.19E+02
1.672,2.11E+02
1.673,2.16E+02
1.674,2.16E+02
1.675,2.14E+02
1.676,2.11E+02
1.677,2.12E+02
1.678,2.09E+02
1.679,2.13E+02
1.68,2.06E+02
1.681,1.94E+02
1.682,2.04E+02
1.683,2.09E+02
1.684,1.98E+02
1.685,2.13E+02
1.686,2.10E+02
1.687,2.05E+02
1.688,2.10E+02
1.689,2.07E+02
1.69,2.05E+02
1.691,1.93E+02
1.692,2.07E+02
1.693,2.11E+02
1.694,2.05E+02
1.695,2.10E+02
1.696,2.09E+02
1.697,1.81E+02
1.698,2.07E+02
1.699,2.06E+02
1.7,2.00E+02
1.702,2.04E+02
1.705,1.98E+02
1.71,1.88E+02
1.715,1.90E+02
1.72,1.87E+02
1.725,1.78E+02
1.73,1.74E+02
1.735,1.62E+02
1.74,1.68E+02
1.745,1.55E+02
1.75,1.66E+02
1.755,1.53E+02
1.76,1.60E+02
1.765,1.33E+02
1.77,1.42E+02
1.775,1.15E+02
1.78,1.01E+02
1.785,7.70E+01
1.79,8.89E+01
1.795,4.69E+01
1.8,3.18E+01
1.805,1.48E+01
1.81,9.69E+00
1.815,3.28E+00
1.82,9.88E-01
1.825,1.27E+00
1.83,5.20E-03
1.835,6.42E-03
1.84,6.27E-05
1.845,6.27E-03
1.85,3.00E-03
1.855,2.84E-04
1.86,1.12E-02
1.865,1.70E-02
1.87,2.67E-07
1.875,4.51E-07
1.88,7.75E-02
1.885,4.39E-02
1.89,2.23E-01
1.895,1.29E-01
1.9,8.62E-04
1.905,5.67E-04
1.91,2.30E-02
1.915,1.99E-02
1.92,4.51E-01
1.925,9.36E-01
1.93,5.52E-01
1.935,3.59E+00
1.94,3.28E+00
1.945,1.09E+01
1.95,1.67E+01
1.955,1.00E+01
1.96,2.19E+01
1.965,2.86E+01
1.97,4.88E+01
1.975,6.79E+01
1.98,7.55E+01
1.985,8.31E+01
1.99,8.56E+01
1.995,8.12E+01
2,3.82E+01
2.005,1.50E+01
2.01,3.97E+01
2.015,2.66E+01
2.02,4.50E+01
2.025,7.40E+01
2.03,8.49E+01
2.035,9.64E+01
2.04,8.98E+01
2.045,9.11E+01
2.05,6.79E+01
2.055,5.49E+01
2.06,6.92E+01
2.065,6.19E+01
2.07,6.57E+01
2.075,7.74E+01
2.08,8.68E+01
2.085,8.51E+01
2.09,8.91E+01
2.095,8.97E+01
2.1,8.61E+01
2.105,9.32E+01
2.11,8.97E+01
2.115,9.17E+01
2.12,8.76E+01
2.125,8.86E+01
2.13,8.98E+01
2.135,9.00E+01
2.14,9.08E+01
2.145,8.95E+01
2.15,8.46E+01
2.155,8.48E+01
2.16,8.42E+01
2.165,7.63E+01
2.17,8.20E+01
2.175,8.04E+01
2.18,8.18E+01
2.185,7.46E+01
2.19,7.91E+01
2.195,7.90E+01
2.2,7.12E+01
2.205,7.40E+01
2.21,7.93E+01
2.215,7.63E+01
2.22,7.77E+01
2.225,7.55E+01
2.23,7.58E+01
2.235,7.43E+01
2.24,7.31E+01
2.245,7.08E+01
2.25,7.19E+01
2.255,6.77E+01
2.26,6.69E+01
2.265,6.81E+01
2.27,6.49E+01
2.275,6.40E+01
2.28,6.63E+01
2.285,6.31E+01
2.29,6.32E+01
2.295,6.13E+01
2.3,5.88E+01
2.305,5.92E+01
2.31,6.39E+01
2.315,5.81E+01
2.32,5.20E+01
2.325,5.62E+01
2.33,5.68E+01
2.335,5.80E+01
2.34,4.58E+01
2.345,5.14E+01
2.35,4.15E+01
2.355,4.75E+01
2.36,5.02E+01
2.365,4.94E+01
2.37,3.08E+01
2.375,4.41E+01
2.38,4.26E+01
2.385,3.08E+01
2.39,3.71E+01
2.395,4.06E+01
2.4,4.42E+01
2.405,3.36E+01
2.41,3.38E+01
2.415,2.73E+01
2.42,2.66E+01
2.425,3.31E+01
2.43,4.51E+01
2.435,1.49E+01
2.44,4.32E+01
2.445,2.08E+01
2.45,1.36E+01
2.455,2.49E+01
2.46,3.34E+01
2.465,2.41E+01
2.47,1.67E+01
2.475,1.65E+01
2.48,8.04E+00
2.485,5.61E+00
2.49,3.51E+00
2.495,2.88E+00
2.5,7.06E+00
2.505,1.52E+00
2.51,2.22E+00
2.515,5.19E-01
2.52,3.71E-01
2.525,4.14E-02
2.53,6.36E-04
2.535,1.75E-04
2.54,3.77E-04
2.545,5.38E-08
2.55,2.82E-10
2.555,1.04E-06
2.56,3.10E-08
2.565,1.60E-11
2.57,1.53E-15
2.575,1.08E-24
2.58,3.82E-19
2.585,1.72E-31
2.59,5.48E-28
2.595,2.28E-30
2.6,4.49E-25
2.605,5.81E-32
2.61,5.94E-31
2.615,1.12E-34
2.62,5.65E-26
2.625,3.87E-25
2.63,2.80E-42
2.635,3.90E-13
2.64,1.18E-13
2.645,9.00E-16
2.65,1.43E-16
2.655,1.31E-24
2.66,2.61E-22
2.665,1.11E-34
2.67,0.00E+00
2.675,0.00E+00
2.68,0.00E+00
2.685,0.00E+00
2.69,1.02E-26
2.695,7.13E-30
2.7,0.00E+00
2.705,2.93E-39
2.71,1.13E-32
2.715,3.86E-23
2.72,5.61E-42
2.725,7.29E-19
2.73,6.07E-16
2.735,5.49E-18
2.74,2.33E-24
2.745,1.31E-20
2.75,1.66E-25
2.755,6.73E-41
2.76,0.00E+00
2.765,2.68E-24
2.77,8.38E-21
2.775,4.00E-35
2.78,4.81E-31
2.785,3.89E-24
2.79,1.22E-13
2.795,3.62E-13
2.8,1.65E-09
2.805,6.75E-11
2.81,4.02E-07
2.815,2.87E-07
2.82,2.05E-08
2.825,1.76E-04
2.83,3.90E-03
2.835,2.13E-07
2.84,1.96E-04
2.845,4.06E-02
2.85,1.16E-03
2.855,4.49E-04
2.86,2.54E-02
2.865,1.68E-01
2.87,6.31E-03
2.875,3.92E-01
2.88,2.47E-01
2.885,4.53E-01
2.89,1.86E-01
2.895,2.66E+00
2.9,8.12E-01
2.905,1.11E-01
2.91,2.72E+00
2.915,1.26E+00
2.92,2.89E+00
2.925,1.08E+00
2.93,5.89E+00
2.935,6.49E+00
2.94,1.63E+00
2.945,1.45E+00
2.95,5.23E+00
2.955,2.34E+00
2.96,4.60E+00
2.965,7.44E+00
2.97,3.52E-01
2.975,8.54E-01
2.98,1.34E+00
2.985,6.96E+00
2.99,1.03E+01
2.995,4.28E+00
3,7.85E+00
3.005,2.89E+00
3.01,6.85E+00
3.015,5.56E+00
3.02,6.34E-01
3.025,7.50E+00
3.03,6.08E+00
3.035,2.50E+00
3.04,2.02E+00
3.045,4.21E+00
3.05,1.03E+00
3.055,2.89E-01
3.06,6.30E+00
3.065,2.91E+00
3.07,1.75E+00
3.075,6.02E+00
3.08,3.62E+00
3.085,1.77E+00
3.09,2.38E+00
3.095,6.55E-01
3.1,4.40E+00
3.105,9.22E-01
3.11,8.46E-01
3.115,2.27E+00
3.12,9.82E+00
3.125,3.03E+00
3.13,5.76E+00
3.135,1.14E+01
3.14,3.32E+00
3.145,3.25E+00
3.15,6.67E+00
3.155,5.64E+00
3.16,9.23E+00
3.165,1.40E+01
3.17,1.25E+01
3.175,9.23E+00
3.18,1.06E+01
3.185,8.08E+00
3.19,4.24E+00
3.195,2.69E+00
3.2,4.38E-01
3.205,3.10E-01
3.21,1.36E-01
3.215,4.98E-01
3.22,1.61E+00
3.225,1.99E-01
3.23,3.41E-01
3.235,7.29E+00
3.24,3.75E+00
3.245,7.34E-01
3.25,2.61E+00
3.255,9.94E+00
3.26,1.22E+00
3.265,2.45E+00
3.27,1.22E+00
3.275,5.93E+00
3.28,2.86E+00
3.285,1.11E+01
3.29,8.76E+00
3.295,1.22E+00
3.3,1.78E+00
3.305,3.94E+00
3.31,3.92E+00
3.315,1.61E-02
3.32,6.00E-02
3.325,3.52E+00
3.33,4.66E+00
3.335,9.07E+00
3.34,3.46E+00
3.345,3.54E+00
3.35,8.03E+00
3.355,3.63E+00
3.36,5.24E+00
3.365,7.19E+00
3.37,3.94E+00
3.375,8.46E+00
3.38,5.11E+00
3.385,7.49E+00
3.39,9.86E+00
3.395,9.55E+00
3.4,1.25E+01
3.405,4.46E+00
3.41,7.08E+00
3.415,7.28E+00
3.42,1.32E+01
3.425,1.00E+01
3.43,8.69E+00
3.435,1.16E+01
3.44,8.03E+00
3.445,1.13E+01
3.45,1.12E+01
3.455,8.31E+00
3.46,1.25E+01
3.465,9.82E+00
3.47,1.23E+01
3.475,1.09E+01
3.48,1.12E+01
3.485,1.21E+01
3.49,1.04E+01
3.495,1.23E+01
3.5,1.19E+01
3.505,1.18E+01
3.51,1.20E+01
3.515,1.15E+01
3.52,1.21E+01
3.525,1.14E+01
3.53,1.11E+01
3.535,9.46E+00
3.54,9.03E+00
3.545,9.54E+00
3.55,1.05E+01
3.555,9.06E+00
3.56,1.08E+01
3.565,1.09E+01
3.57,8.34E+00
3.575,8.64E+00
3.58,1.02E+01
3.585,9.17E+00
3.59,9.45E+00
3.595,9.67E+00
3.6,1.03E+01
3.605,1.04E+01
3.61,9.48E+00
3.615,9.47E+00
3.62,1.16E+01
3.625,1.02E+01
3.63,9.96E+00
3.635,1.03E+01
3.64,1.15E+01
3.645,1.06E+01
3.65,1.01E+01
3.655,1.10E+01
3.66,1.09E+01
3.665,1.03E+01
3.67,7.90E+00
3.675,4.83E+00
3.68,8.33E+00
3.685,9.44E+00
3.69,9.69E+00
3.695,1.01E+01
3.7,1.09E+01
3.705,1.08E+01
3.71,9.36E+00
3.715,9.23E+00
3.72,1.04E+01
3.725,1.07E+01
3.73,9.27E+00
3.735,8.58E+00
3.74,8.85E+00
3.745,1.03E+01
3.75,9.29E+00
3.755,8.99E+00
3.76,8.86E+00
3.765,8.55E+00
3.77,9.12E+00
3.775,9.05E+00
3.78,9.57E+00
3.785,8.81E+00
3.79,7.76E+00
3.795,8.87E+00
3.8,9.86E+00
3.805,9.30E+00
3.81,8.25E+00
3.815,7.76E+00
3.82,9.66E+00
3.825,9.51E+00
3.83,9.59E+00
3.835,7.69E+00
3.84,8.98E+00
3.845,8.78E+00
3.85,8.83E+00
3.855,8.51E+00
3.86,7.99E+00
3.865,8.10E+00
3.87,7.36E+00
3.875,6.76E+00
3.88,6.53E+00
3.885,6.77E+00
3.89,6.88E+00
3.895,7.48E+00
3.9,7.93E+00
3.905,7.93E+00
3.91,7.14E+00
3.915,6.99E+00
3.92,6.95E+00
3.925,6.85E+00
3.93,7.05E+00
3.935,7.35E+00
3.94,7.40E+00
3.945,7.54E+00
3.95,7.63E+00
3.955,7.72E+00
3.96,7.75E+00
3.965,7.81E+00
3.97,7.68E+00
3.975,7.51E+00
3.98,7.39E+00
3.985,7.43E+00
3.99,7.37E+00
3.995,7.21E+00
4,7.10E+00
