Wavelength (um),Rel. global irradiance
0.438,1.22E+03
0.439,1.18E+03
0.44,1.35E+03
0.441,1.33E+03
0.442,1.43E+03
0.443,1.45E+03
0.444,1.41E+03
0.445,1.46E+03
0.446,1.31E+03
0.447,1.49E+03
0.448,1.51E+03
0.449,1.50E+03
0.45,1.56E+03
0.451,1.62E+03
0.452,1.55E+03
0.453,1.43E+03
0.454,1.53E+03
0.455,1.52E+03
0.456,1.57E+03
0.457,1.59E+03
0.458,1.55E+03
0.459,1.54E+03
0.46,1.53E+03
0.461,1.58E+03
0.462,1.60E+03
0.463,1.60E+03
0.464,1.55E+03
0.465,1.54E+03
0.466,1.57E+03
0.467,1.50E+03
0.468,1.56E+03
0.469,1.57E+03
0.47,1.51E+03
0.471,1.53E+03
0.472,1.61E+03
0.473,1.55E+03
0.474,1.57E+03
0.475,1.62E+03
0.476,1.56E+03
0.477,1.57E+03
0.478,1.62E+03
0.479,1.59E+03
0.48,1.62E+03
0.481,1.62E+03
0.482,1.62E+03
0.483,1.60E+03
0.484,1.57E+03
0.485,1.57E+03
0.486,1.27E+03
0.487,1.42E+03
0.488,1.54E+03
0.489,1.45E+03
0.49,1.62E+03
0.491,1.56E+03
0.492,1.49E+03
0.493,1.59E+03
0.494,1.55E+03
0.495,1.65E+03
0.496,1.57E+03
0.497,1.59E+03
0.498,1.55E+03
0.499,1.55E+03
0.5,1.55E+03
0.501,1.50E+03
0.502,1.50E+03
0.503,1.57E+03
0.504,1.46E+03
0.505,1.56E+03
0.506,1.63E+03
0.507,1.56E+03
0.508,1.52E+03
0.509,1.59E+03
0.51,1.55E+03
0.511,1.58E+03
0.512,1.62E+03
0.513,1.52E+03
0.514,1.49E+03
0.515,1.53E+03
0.516,1.55E+03
0.517,1.26E+03
0.518,1.44E+03
0.519,1.40E+03
0.52,1.52E+03
0.521,1.53E+03
0.522,1.57E+03
0.523,1.48E+03
0.524,1.59E+03
0.525,1.58E+03
0.526,1.53E+03
0.527,1.34E+03
0.528,1.54E+03
0.529,1.61E+03
0.53,1.54E+03
0.531,1.63E+03
0.532,1.60E+03
0.533,1.43E+03
0.534,1.53E+03
0.535,1.55E+03
0.536,1.62E+03
0.537,1.50E+03
0.538,1.57E+03
0.539,1.54E+03
0.54,1.48E+03
0.541,1.43E+03
0.542,1.55E+03
0.543,1.53E+03
0.544,1.58E+03
0.545,1.54E+03
0.546,1.53E+03
0.547,1.55E+03
0.548,1.50E+03
0.549,1.55E+03
0.55,1.54E+03
0.551,1.54E+03
0.552,1.57E+03
0.553,1.53E+03
0.554,1.55E+03
0.555,1.56E+03
0.556,1.54E+03
0.557,1.50E+03
0.558,1.53E+03
0.559,1.45E+03
0.56,1.47E+03
0.561,1.56E+03
0.562,1.48E+03
0.563,1.54E+03
0.564,1.51E+03
0.565,1.52E+03
0.566,1.44E+03
0.567,1.53E+03
0.568,1.52E+03
0.569,1.48E+03
0.57,1.48E+03
0.571,1.43E+03
0.572,1.51E+03
0.573,1.52E+03
0.574,1.51E+03
0.575,1.48E+03
0.576,1.47E+03
0.577,1.50E+03
0.578,1.46E+03
0.579,1.48E+03
0.58,1.50E+03
0.581,1.51E+03
0.582,1.53E+03
0.583,1.55E+03
0.584,1.54E+03
0.585,1.53E+03
0.586,1.50E+03
0.587,1.53E+03
0.588,1.49E+03
0.589,1.29E+03
0.59,1.37E+03
0.591,1.47E+03
0.592,1.44E+03
0.593,1.46E+03
0.594,1.45E+03
0.595,1.43E+03
0.596,1.47E+03
0.597,1.48E+03
0.598,1.46E+03
0.599,1.46E+03
0.6,1.48E+03
0.601,1.46E+03
0.602,1.44E+03
0.603,1.47E+03
0.604,1.49E+03
0.605,1.49E+03
0.606,1.48E+03
0.607,1.49E+03
0.608,1.49E+03
0.609,1.47E+03
0.61,1.47E+03
0.611,1.46E+03
0.612,1.48E+03
0.613,1.46E+03
0.614,1.42E+03
0.615,1.47E+03
0.616,1.43E+03
0.617,1.41E+03
0.618,1.47E+03
0.619,1.47E+03
0.62,1.47E+03
0.621,1.48E+03
0.622,1.43E+03
0.623,1.42E+03
0.624,1.41E+03
0.625,1.40E+03
0.626,1.40E+03
0.627,1.44E+03
0.628,1.36E+03
0.629,1.41E+03
0.63,1.39E+03
0.631,1.42E+03
0.632,1.36E+03
0.633,1.45E+03
0.634,1.43E+03
0.635,1.45E+03
0.636,1.41E+03
0.637,1.46E+03
0.638,1.47E+03
0.639,1.46E+03
0.64,1.43E+03
0.641,1.43E+03
0.642,1.44E+03
0.643,1.45E+03
0.644,1.45E+03
0.645,1.46E+03
0.646,1.42E+03
0.647,1.41E+03
0.648,1.40E+03
0.649,1.35E+03
0.65,1.36E+03
0.651,1.44E+03
0.652,1.39E+03
0.653,1.43E+03
0.654,1.42E+03
0.655,1.35E+03
0.656,1.19E+03
0.657,1.24E+03
0.658,1.39E+03
0.659,1.39E+03
0.66,1.40E+03
0.661,1.39E+03
0.662,1.38E+03
0.663,1.38E+03
0.664,1.40E+03
0.665,1.42E+03
0.666,1.42E+03
0.667,1.41E+03
0.668,1.42E+03
0.669,1.44E+03
0.67,1.42E+03
0.671,1.42E+03
0.672,1.40E+03
0.673,1.41E+03
0.674,1.41E+03
0.675,1.40E+03
0.676,1.41E+03
0.677,1.40E+03
0.678,1.41E+03
0.679,1.39E+03
0.68,1.40E+03
0.681,1.39E+03
0.682,1.40E+03
0.683,1.38E+03
0.684,1.37E+03
0.685,1.37E+03
0.686,1.34E+03
0.687,9.68E+02
0.688,1.12E+03
0.689,1.13E+03
0.69,1.18E+03
0.691,1.23E+03
0.692,1.27E+03
0.693,1.26E+03
0.694,1.25E+03
0.695,1.27E+03
0.696,1.27E+03
0.697,1.34E+03
0.698,1.32E+03
0.699,1.29E+03
0.7,1.28E+03
0.701,1.27E+03
0.702,1.27E+03
0.703,1.27E+03
0.704,1.31E+03
0.705,1.32E+03
0.706,1.31E+03
0.707,1.31E+03
0.708,1.30E+03
0.709,1.31E+03
0.71,1.32E+03
0.711,1.32E+03
0.712,1.31E+03
0.713,1.29E+03
0.714,1.30E+03
0.715,1.26E+03
0.716,1.27E+03
0.717,1.11E+03
0.718,1.03E+03
0.719,9.23E+02
0.72,9.86E+02
